type,client,tx,amount
deposit,92,1,12
withdrawal,27,2,50
deposit,43,3,22
withdrawal,78,4,28
withdrawal,67,5,14
deposit,0,6,97
deposit,8,7,23
deposit,25,8,0
deposit,91,9,84
deposit,68,10,38
deposit,42,11,92
withdrawal,1,12,61
withdrawal,72,13,65
deposit,16,14,56
deposit,72,15,4
withdrawal,66,16,52
deposit,31,17,40
withdrawal,90,18,9
withdrawal,27,19,40
withdrawal,42,20,87
withdrawal,45,21,50
withdrawal,27,22,39
withdrawal,1,23,29
deposit,52,24,45
deposit,33,25,53
deposit,45,26,64
deposit,41,27,24
withdrawal,22,28,61
withdrawal,34,29,1
withdrawal,86,30,3
deposit,39,31,17
withdrawal,58,32,92
deposit,68,33,38
withdrawal,44,34,45
deposit,51,35,19
deposit,58,36,45
withdrawal,46,37,86
withdrawal,70,38,37
withdrawal,25,39,2
withdrawal,100,40,54
deposit,8,41,76
withdrawal,50,42,95
withdrawal,72,43,47
deposit,7,44,55
withdrawal,60,45,25
deposit,26,46,28
withdrawal,79,47,49
withdrawal,65,48,93
deposit,47,49,71
withdrawal,32,50,69
deposit,52,51,52
deposit,36,52,22
withdrawal,85,53,19
withdrawal,93,54,96
withdrawal,53,55,46
deposit,30,56,79
deposit,56,57,49
deposit,39,58,93
withdrawal,41,59,95
withdrawal,45,60,58
deposit,5,61,8
deposit,79,62,89
deposit,85,63,48
deposit,73,64,82
withdrawal,55,65,74
withdrawal,63,66,35
deposit,56,67,8
deposit,49,68,48
withdrawal,72,69,39
withdrawal,39,70,82
withdrawal,79,71,10
withdrawal,33,72,64
deposit,7,73,45
withdrawal,93,74,13
deposit,62,75,94
withdrawal,44,76,55
deposit,46,77,19
withdrawal,35,78,37
withdrawal,37,79,21
deposit,38,80,13
deposit,60,81,30
withdrawal,9,82,33
deposit,16,83,56
deposit,33,84,23
withdrawal,95,85,13
deposit,32,86,62
withdrawal,71,87,68
deposit,83,88,52
deposit,2,89,5
withdrawal,2,90,92
withdrawal,67,91,34
deposit,69,92,17
withdrawal,55,93,60
withdrawal,37,94,19
deposit,12,95,13
deposit,58,96,56
withdrawal,79,97,97
deposit,68,98,88
withdrawal,4,99,99
deposit,33,100,13
withdrawal,31,101,61
withdrawal,51,102,78
withdrawal,54,103,30
deposit,27,104,69
withdrawal,85,105,52
deposit,40,106,68
deposit,3,107,2
withdrawal,100,108,81
withdrawal,40,109,7
withdrawal,62,110,25
deposit,33,111,54
deposit,41,112,39
withdrawal,21,113,79
withdrawal,42,114,72
deposit,70,115,48
withdrawal,68,116,18
withdrawal,6,117,79
deposit,36,118,26
withdrawal,28,119,67
withdrawal,83,120,1
deposit,92,121,27
deposit,22,122,67
deposit,28,123,59
withdrawal,72,124,51
deposit,85,125,79
withdrawal,3,126,54
deposit,87,127,95
deposit,10,128,95
deposit,8,129,79
withdrawal,59,130,40
withdrawal,55,131,21
deposit,58,132,54
withdrawal,23,133,47
deposit,49,134,14
deposit,66,135,85
withdrawal,55,136,59
withdrawal,54,137,32
deposit,5,138,53
withdrawal,20,139,14
withdrawal,21,140,89
withdrawal,34,141,66
withdrawal,30,142,52
withdrawal,55,143,4
deposit,36,144,1
deposit,75,145,98
deposit,89,146,67
withdrawal,30,147,73
deposit,93,148,29
withdrawal,59,149,33
deposit,28,150,83
deposit,72,151,85
withdrawal,65,152,94
withdrawal,40,153,16
withdrawal,41,154,6
deposit,84,155,48
deposit,60,156,2
withdrawal,30,157,14
withdrawal,57,158,99
withdrawal,2,159,49
deposit,10,160,94
withdrawal,35,161,59
withdrawal,54,162,20
deposit,35,163,76
withdrawal,69,164,55
deposit,0,165,45
deposit,33,166,61
deposit,79,167,19
deposit,30,168,2
withdrawal,78,169,50
deposit,86,170,39
withdrawal,54,171,90
deposit,87,172,9
deposit,64,173,93
withdrawal,92,174,26
withdrawal,66,175,3
deposit,97,176,74
deposit,83,177,94
deposit,62,178,13
withdrawal,37,179,78
deposit,58,180,89
withdrawal,28,181,100
withdrawal,81,182,77
deposit,17,183,91
withdrawal,9,184,2
withdrawal,30,185,62
deposit,44,186,59
withdrawal,86,187,10
deposit,87,188,54
withdrawal,47,189,84
withdrawal,43,190,5
deposit,20,191,34
withdrawal,92,192,60
withdrawal,1,193,32
withdrawal,82,194,95
deposit,98,195,42
withdrawal,62,196,70
withdrawal,65,197,1
deposit,73,198,81
withdrawal,5,199,4
withdrawal,62,200,30
withdrawal,59,201,43
withdrawal,31,202,14
withdrawal,85,203,81
deposit,29,204,51
deposit,60,205,18
deposit,68,206,53
withdrawal,2,207,84
deposit,60,208,74
deposit,71,209,92
withdrawal,97,210,82
deposit,5,211,49
deposit,27,212,68
deposit,42,213,72
withdrawal,86,214,7
deposit,34,215,39
withdrawal,98,216,60
deposit,72,217,8
withdrawal,71,218,31
deposit,64,219,69
deposit,96,220,13
withdrawal,46,221,57
withdrawal,31,222,59
withdrawal,50,223,16
deposit,22,224,87
deposit,22,225,11
withdrawal,92,226,43
withdrawal,93,227,48
deposit,91,228,96
deposit,13,229,33
deposit,4,230,69
withdrawal,22,231,71
withdrawal,94,232,33
